joint,x,y,z
14,412.9339,-765.3867,1418.4738
0,336.7997,428.18588,1382.4325
1,355.6837,275.9367,1363.7728
2,237.01147,278.5004,1436.9741
3,474.3559,273.37302,1290.5715
4,213.38385,72.862625,1555.6632
5,527.5722,57.765823,1278.6158
6,113.132416,-225.23088,1449.8843
7,516.26886,-185.53996,1132.8693
8,344.1227,97.48074,1351.2804
9,256.52744,-79.332634,1385.6886
10,408.59604,-82.617805,1291.8873
11,236.84789,-439.0668,1408.3181
12,401.02664,-450.54007,1295.3131
13,268.4716,-777.6522,1505.213
14,410.7962,-780.1803,1417.8914
0,334.58954,427.60004,1381.0374
1,353.5289,271.9903,1361.2211
2,236.20811,274.202,1435.9869
3,470.84967,269.77863,1286.4552
4,212.74599,68.347626,1552.6744
5,517.3758,50.580734,1269.0851
6,112.92801,-225.56042,1441.0403
7,511.64996,-189.32762,1138.7897
8,342.91617,93.55473,1349.8462
9,257.25522,-83.466064,1386.2979
10,407.35165,-86.29562,1290.6448
11,234.54036,-433.77567,1402.4886
12,400.23636,-440.14133,1289.8798
13,269.22952,-780.3855,1509.4911
14,408.84375,-779.5897,1416.8296
0,333.17508,428.71704,1380.3809
1,353.54755,271.4331,1360.8693
2,236.27924,274.10962,1436.1687
3,470.81586,268.75656,1285.5698
4,213.00006,69.04788,1551.061
5,510.56134,44.310898,1265.3544
6,110.854836,-222.07758,1427.3865
7,507.0641,-195.13742,1143.0204
8,342.40076,92.98263,1349.8527
9,256.9972,-83.77301,1386.5172
10,405.51074,-87.162674,1291.1549
11,232.50458,-434.97443,1405.7451
12,399.53635,-446.9422,1286.8328
13,270.02142,-780.9696,1513.6694
14,406.06396,-770.63,1408.9377
0,332.45468,430.02625,1379.5848
1,353.125,270.57742,1361.3474
2,236.30301,273.36325,1436.9697
3,469.947,267.7916,1285.7251
4,212.97682,67.75215,1548.5657
5,507.80374,44.952286,1268.5111
6,112.30384,-226.47804,1413.3075
7,500.1484,-204.64175,1150.1344
8,341.5467,89.02243,1350.1494
9,255.90088,-90.76629,1386.8975
10,404.0359,-94.298836,1291.0054
11,231.15088,-436.26987,1407.8422
12,396.72916,-454.03705,1285.4644
13,270.62357,-781.9474,1517.6029
14,402.2858,-777.58215,1407.9949
0,331.33893,431.14438,1378.3488
1,350.21967,266.85574,1361.2053
2,234.44237,268.9837,1437.1742
3,465.99695,264.72778,1285.2365
4,210.9401,61.113266,1541.8906
5,505.85413,45.32953,1271.8182
6,106.92909,-218.39946,1398.7793
7,498.84546,-207.1283,1161.6971
8,339.45953,85.02601,1349.8999
9,255.14462,-95.4518,1386.8584
10,402.25418,-98.15564,1290.3306
11,231.82587,-435.94495,1402.7533
12,394.7753,-458.05905,1286.2701
